MainKey,Rank,FilterIn,FilterOut,ActionVar,Likelihood,Prompt,YearStart,YearEnd,DateIn,UserIn,DateOut,UserOut,Comments,NoApplyForDT,AddResultInDT
100Text,0010,(.*)causing(.*),$2 | $1,,,,2005,9999,12/04/2016,NA,,,Replace text with due to symbol (may be too broad),,
100Text,0020,(.*)leading to(.*),$2 | $1,,,,2005,9999,12/04/2016,NA,,,Replace text with due to symbol (may be too broad),,
100Text,0030,(.*)resulting in(.*),$2 | $1,,,,2005,9999,12/04/2016,NA,,,Replace text with due to symbol (may be too broad),,
100Text,0040,\b\s?and\s?\b,",",,,,2005,9999,25/03/2009,NA,,,Split conditions,,
100Text,0050,\bas a result of\b,|,,,,2005,9999,17/05/2012,NA,,,Replace text with due to symbol,,
100Text,0060,\bassociated\b,",",,,,2005,9999,23/04/2012,NA,,,Split conditions,,
100Text,0070,\bby\b,|,,,,2005,9999,08/05/2012,NA,,,Replace text with due to symbol,,
100Text,0080,\bcaused by\b,|,,,,2005,9999,24/02/2012,NA,,,Replace text with due to symbol,,
100Text,0090,\bcomplicated by\b,|,,,,2005,9999,28/03/2012,NA,,,Replace text with due to symbol,,
100Text,0100,\bdue to\b,|,,,,2005,9999,25/03/2009,NA,,,Replace text with due to symbol,,
100Text,0110,\bfollowing\b,|,,,,2005,9999,12/06/2012,NA,,,Replace text with due to symbol,,
100Text,0120,\bfor\b,|,,,,2005,9999,23/04/2012,NA,,,Replace text with due to symbol,,
100Text,0130,\bfrom\b,|,,,,2005,9999,24/02/2012,NA,,,Replace text with due to symbol,,
100Text,0140,\bincluding\b,",",,,,2005,9999,22/05/2012,NA,,,Split conditions,,
100Text,0150,\brequiring\b,",",,,,2005,9999,08/05/2012,NA,,,Split conditions,,
100Text,0160,\bresulting from\b,|,,,,2005,9999,11/05/2012,NA,,,Replace text with due to symbol,,
100Text,0170,\bsecondary to\b,|,,,,2005,9999,11/04/2012,NA,,,Replace text with due to symbol,,
